TEAM1,TEAM2,WINNING_TEAM
2017WICHITAST,2017KENTUCKY,2017KENTUCKY
2017WISCONSIN,2017FLORIDA,2017FLORIDA
2017BAYLOR,2017SOUTHCAROLINA,2017SOUTHCAROLINA
2017GONZAGA,2017WESTVIRGINIA,2017GONZAGA
2017XAVIER,2017ARIZONA,2017XAVIER
2017KANSAS,2017PURDUE,2017KANSAS
2017OREGON,2017MICHIGAN,2017OREGON
2017NORTHCAROLINA,2017BUTLER,2017NORTHCAROLINA
2017UCLA,2017KENTUCKY,2017KENTUCKY
2017FLORIDA,2017SOUTHCAROLINA,2017SOUTHCAROLINA
2017GONZAGA,2017XAVIER,2017GONZAGA
2017KANSAS,2017OREGON,2017OREGON
2017NORTHCAROLINA,2017KENTUCKY,2017NORTHCAROLINA
2017SOUTHCAROLINA,2017GONZAGA,2017GONZAGA
2017OREGON,2017NORTHCAROLINA,2017NORTHCAROLINA
2017GONZAGA,2017NORTHCAROLINA,2017NORTHCAROLINA
2016KANSAS,2016AUSTINPEAY,2016KANSAS
2016COLORADO,2016CONNECTICUT,2016CONNECTICUT
2016MARYLAND,2016SOUTHDAKOTAST,2016MARYLAND
2016CALIFORNIA,2016HAWAII,2016HAWAII
2016ARIZONA,2016WICHITAST,2016WICHITAST
2016MIAMIFL,2016BUFFALO,2016MIAMIFL
2016IOWA,2016TEMPLE,2016IOWA
2016VILLANOVA,2016UNCASHEVILLE,2016VILLANOVA
2016OREGON,2016HOLYCROSS,2016OREGON
2016SAINTJOSEPHS,2016CINCINNATI,2016SAINTJOSEPHS
2016BAYLOR,2016YALE,2016YALE
2016DUKE,2016UNCWILMINGTON,2016DUKE
2016TEXAS,2016NORTHERNIOWA,2016NORTHERNIOWA
2016TEXASAM,2016GREENBAY,2016TEXASAM
2016OREGONST,2016VCU,2016VCU
2016OKLAHOMA,2016CALSTBAKERSFIELD,2016OKLAHOMA
2016NORTHCAROLINA,2016FLORIDAGULFCOAST,2016NORTHCAROLINA
2016USC,2016PROVIDENCE,2016PROVIDENCE
2016INDIANA,2016CHATTANOOGA,2016INDIANA
2016KENTUCKY,2016STONYBROOK,2016KENTUCKY
2016NOTREDAME,2016MICHIGAN,2016NOTREDAME
2016WESTVIRGINIA,2016STEPHENFAUSTIN,2016STEPHENFAUSTIN
2016WISCONSIN,2016PITTSBURGH,2016WISCONSIN
2016XAVIER,2016WEBERST,2016XAVIER
2016VIRGINIA,2016HAMPTON,2016VIRGINIA
2016TEXASTECH,2016BUTLER,2016BUTLER
2016PURDUE,2016LITTLEROCK,2016LITTLEROCK
2016IOWAST,2016IONA,2016IOWAST
2016SETONHALL,2016GONZAGA,2016GONZAGA
2016UTAH,2016FRESNOST,2016UTAH
2016DAYTON,2016SYRACUSE,2016SYRACUSE
2016MICHIGANST,2016MIDDLETENNESSEE,2016MIDDLETENNESSEE
2016KANSAS,2016CONNECTICUT,2016KANSAS
2016MARYLAND,2016HAWAII,2016MARYLAND
2016WICHITAST,2016MIAMIFL,2016MIAMIFL
2016IOWA,2016VILLANOVA,2016VILLANOVA
2016OREGON,2016SAINTJOSEPHS,2016OREGON
2016YALE,2016DUKE,2016DUKE
2016NORTHERNIOWA,2016TEXASAM,2016TEXASAM
2016VCU,2016OKLAHOMA,2016OKLAHOMA
2016NORTHCAROLINA,2016PROVIDENCE,2016NORTHCAROLINA
2016INDIANA,2016KENTUCKY,2016INDIANA
2016NOTREDAME,2016STEPHENFAUSTIN,2016NOTREDAME
2016WISCONSIN,2016XAVIER,2016WISCONSIN
2016VIRGINIA,2016BUTLER,2016VIRGINIA
2016LITTLEROCK,2016IOWAST,2016IOWAST
2016GONZAGA,2016UTAH,2016GONZAGA
2016SYRACUSE,2016MIDDLETENNESSEE,2016SYRACUSE
2016KANSAS,2016MARYLAND,2016KANSAS
2016MIAMIFL,2016VILLANOVA,2016VILLANOVA
2016OREGON,2016DUKE,2016OREGON
2016TEXASAM,2016OKLAHOMA,2016OKLAHOMA
2016NORTHCAROLINA,2016INDIANA,2016NORTHCAROLINA
2016NOTREDAME,2016WISCONSIN,2016NOTREDAME
2016VIRGINIA,2016IOWAST,2016VIRGINIA
2016GONZAGA,2016SYRACUSE,2016SYRACUSE
2016KANSAS,2016VILLANOVA,2016VILLANOVA
2016OREGON,2016OKLAHOMA,2016OKLAHOMA
2016NORTHCAROLINA,2016NOTREDAME,2016NORTHCAROLINA
2016VIRGINIA,2016SYRACUSE,2016SYRACUSE
2016VILLANOVA,2016OKLAHOMA,2016VILLANOVA
2016NORTHCAROLINA,2016SYRACUSE,2016NORTHCAROLINA
2016VILLANOVA,2016NORTHCAROLINA,2016VILLANOVA
2015KENTUCKY,2015HAMPTON,2015KENTUCKY
2015CINCINNATI,2015PURDUE,2015CINCINNATI
2015WESTVIRGINIA,2015BUFFALO,2015WESTVIRGINIA
2015MARYLAND,2015VALPARAISO,2015MARYLAND
2015BUTLER,2015TEXAS,2015BUTLER
2015NOTREDAME,2015NORTHEASTERN,2015NOTREDAME
2015WICHITAST,2015INDIANA,2015WICHITAST
2015KANSAS,2015NEWMEXICOST,2015KANSAS
2015WISCONSIN,2015COASTALCAROLINA,2015WISCONSIN
2015OREGON,2015OKLAHOMAST,2015OREGON
2015ARKANSAS,2015WOFFORD,2015ARKANSAS
2015NORTHCAROLINA,2015HARVARD,2015NORTHCAROLINA
2015XAVIER,2015MISSISSIPPI,2015XAVIER
2015BAYLOR,2015GEORGIAST,2015GEORGIAST
2015VCU,2015OHIOST,2015OHIOST
2015ARIZONA,2015TEXASSOUTHERN,2015ARIZONA
2015VILLANOVA,2015LAFAYETTE,2015VILLANOVA
2015NORTHCAROLINAST,2015LSU,2015NORTHCAROLINAST
2015NORTHERNIOWA,2015WYOMING,2015NORTHERNIOWA
2015LOUISVILLE,2015UCIRVINE,2015LOUISVILLE
2015PROVIDENCE,2015DAYTON,2015DAYTON
2015OKLAHOMA,2015ALBANY,2015OKLAHOMA
2015MICHIGANST,2015GEORGIA,2015MICHIGANST
2015VIRGINIA,2015BELMONT,2015VIRGINIA
2015DUKE,2015ROBERTMORRIS,2015DUKE
2015SANDIEGOST,2015STJOHNS,2015SANDIEGOST
2015UTAH,2015STEPHENFAUSTIN,2015UTAH
2015GEORGETOWN,2015EASTERNWASHINGTON,2015GEORGETOWN
2015SMU,2015UCLA,2015UCLA
2015IOWAST,2015UAB,2015UAB
2015IOWA,2015DAVIDSON,2015IOWA
2015GONZAGA,2015NORTHDAKOTAST,2015GONZAGA
2015KENTUCKY,2015CINCINNATI,2015KENTUCKY
2015WESTVIRGINIA,2015MARYLAND,2015WESTVIRGINIA
2015BUTLER,2015NOTREDAME,2015NOTREDAME
2015WICHITAST,2015KANSAS,2015WICHITAST
2015WISCONSIN,2015OREGON,2015WISCONSIN
2015ARKANSAS,2015NORTHCAROLINA,2015NORTHCAROLINA
2015XAVIER,2015GEORGIAST,2015XAVIER
2015OHIOST,2015ARIZONA,2015ARIZONA
2015VILLANOVA,2015NORTHCAROLINAST,2015NORTHCAROLINAST
