TEAM,SEED
2015DAYTON,11
2015OKLAHOMA,3
2015ALBANY,14
2015MICHIGANST,7
2015GEORGIA,10
2015VIRGINIA,2
2015BELMONT,15
2015DUKE,1
2015ROBERTMORRIS,16
2015SANDIEGOST,8
2015STJOHNS,9
2015UTAH,5
2015STEPHENFAUSTIN,12
2015GEORGETOWN,4
2015EASTERNWASHINGTON,13
2015SMU,6
2015UCLA,11
2015IOWAST,3
2015UAB,14
2015IOWA,7
2015DAVIDSON,10
2015GONZAGA,2
2015NORTHDAKOTAST,15
2014FLORIDA,1
2014ALBANY,16
2014COLORADO,8
2014PITTSBURGH,9
2014VCU,5
2014STEPHENFAUSTIN,12
2014UCLA,4
2014TULSA,13
2014OHIOST,6
2014DAYTON,11
2014SYRACUSE,3
2014WESTERNMICHIGAN,14
2014NEWMEXICO,7
2014STANFORD,10
2014KANSAS,2
2014EASTERNKENTUCKY,15
2014VIRGINIA,1
2014COASTALCAROLINA,16
2014MEMPHIS,8
2014GEORGEWASHINGTON,9
2014CINCINNATI,5
2014HARVARD,12
2014MICHIGANST,4
2014DELAWARE,13
2014NORTHCAROLINA,6
2014PROVIDENCE,11
2014IOWAST,3
2014NORTHCAROLINACENTRAL,14
2014CONNECTICUT,7
2014SAINTJOSEPHS,10
2014VILLANOVA,2
2014MILWAUKEE,15
2014ARIZONA,1
2014WEBERST,16
2014GONZAGA,8
2014OKLAHOMAST,9
2014OKLAHOMA,5
2014NORTHDAKOTAST,12
2014SANDIEGOST,4
2014NEWMEXICOST,13
2014BAYLOR,6
2014NEBRASKA,11
2014CREIGHTON,3
2014LOUISIANALAFAYETTE,14
2014OREGON,7
2014BYU,10
2014WISCONSIN,2
2014AMERICAN,15
2014WICHITAST,1
2014CALPOLY,16
2014KENTUCKY,8
2014KANSASST,9
2014SAINTLOUIS,5
2014NORTHCAROLINAST,12
2014LOUISVILLE,4
2014MANHATTAN,13
2014MASSACHUSETTS,6
2014TENNESSEE,11
2014DUKE,3
2014MERCER,14
2014TEXAS,7
2014ARIZONAST,10
2014MICHIGAN,2
2014WOFFORD,15
2013LOUISVILLE,1
2013NORTHCAROLINAAT,16
2013COLORADOST,8
2013MISSOURI,9
2013OKLAHOMAST,5
2013OREGON,12
2013SAINTLOUIS,4
2013NEWMEXICOST,13
2013MEMPHIS,6
2013SAINTMARYS,11
2013MICHIGANST,3
2013VALPARAISO,14
2013CREIGHTON,7
2013CINCINNATI,10
2013DUKE,2
2013ALBANY,15
2013GONZAGA,1
2013SOUTHERN,16
2013PITTSBURGH,8
2013WICHITAST,9
2013WISCONSIN,5
2013MISSISSIPPI,12
2013KANSASST,4
2013LASALLE,13
2013ARIZONA,6
2013BELMONT,11
2013NEWMEXICO,3
2013HARVARD,14
2013NOTREDAME,7
2013IOWAST,10
2013OHIOST,2
2013IONA,15
2013KANSAS,1
2013WESTERNKENTUCKY,16
2013NORTHCAROLINA,8
2013VILLANOVA,9
2013VCU,5
2013AKRON,12
2013MICHIGAN,4
2013SOUTHDAKOTAST,13
2013UCLA,6
2013MINNESOTA,11
2013FLORIDA,3
2013NORTHWESTERNST,14
2013SANDIEGOST,7
2013OKLAHOMA,10
2013GEORGETOWN,2
2013FLORIDAGULFCOAST,15
2013INDIANA,1
2013JAMESMADISON,16
2013NORTHCAROLINAST,8
2013TEMPLE,9
2013UNLV,5
2013CALIFORNIA,12
2013SYRACUSE,4
2013MONTANA,13
2013BUTLER,6
2013BUCKNELL,11
2013MARQUETTE,3
2013DAVIDSON,14
2013ILLINOIS,7
2013COLORADO,10
2013MIAMIFL,2
2013PACIFIC,15
2012KENTUCKY,1
2012WESTERNKENTUCKY,16
2012IOWAST,8
2012CONNECTICUT,9
2012WICHITAST,5
2012VCU,12
2012INDIANA,4
2012NEWMEXICOST,13
2012UNLV,6
2012COLORADO,11
2012BAYLOR,3
2012SOUTHDAKOTAST,14
2012NOTREDAME,7
2012XAVIER,10
2012DUKE,2
2012LEHIGH,15
2012MICHIGANST,1
2012LIUBROOKLYN,16
2012MEMPHIS,8
2012SAINTLOUIS,9
2012NEWMEXICO,5
2012LONGBEACHST,12
2012LOUISVILLE,4
2012DAVIDSON,13
2012MURRAYST,6
2012COLORADOST,11
2012MARQUETTE,3
2012BYU,14
2012FLORIDA,7
2012VIRGINIA,10
2012MISSOURI,2
2012NORFOLKST,15
2012SYRACUSE,1
2012UNCASHEVILLE,16
2012KANSASST,8
2012SOUTHERNMISS,9
2012VANDERBILT,5
2012HARVARD,12
2012WISCONSIN,4
2012MONTANA,13
2012CINCINNATI,6
2012TEXAS,11
2012FLORIDAST,3
2012STBONAVENTURE,14
2012GONZAGA,7
2012WESTVIRGINIA,10
2012OHIOST,2
2012LOYOLAMD,15
2012NORTHCAROLINA,1
2012VERMONT,16
2012CREIGHTON,8
2012ALABAMA,9
2012TEMPLE,5
2012SOUTHFLORIDA,12
2012MICHIGAN,4
2012OHIO,13
2012SANDIEGOST,6
2012NORTHCAROLINAST,11
2012GEORGETOWN,3
2012BELMONT,14
2012SAINTMARYS,7
2012PURDUE,10
2012KANSAS,2
2012DETROIT,15
2011OHIOST,1
2011UTSA,16
2011GEORGEMASON,8
2011VILLANOVA,9
2011WESTVIRGINIA,5
2011CLEMSON,12
2011KENTUCKY,4
2011PRINCETON,13
2011XAVIER,6
2011MARQUETTE,11
2011SYRACUSE,3
2011INDIANAST,14
2011WASHINGTON,7
2011GEORGIA,10
2011NORTHCAROLINA,2
2011LIUBROOKLYN,15
2011DUKE,1
2011HAMPTON,16
2011MICHIGAN,8
2011TENNESSEE,9
2011ARIZONA,5
2011MEMPHIS,12
2011TEXAS,4
2011OAKLAND,13
2011CINCINNATI,6
2011MISSOURI,11
2011CONNECTICUT,3
2011BUCKNELL,14
2011TEMPLE,7
2011PENNST,10
2011SANDIEGOST,2
2011NORTHERNCOLORADO,15
2011KANSAS,1
2011BOSTONUNIVERSITY,16
2011UNLV,8
2011ILLINOIS,9
2011VANDERBILT,5
2011RICHMOND,12
2011LOUISVILLE,4
2011MOREHEADST,13
2011GEORGETOWN,6
2011VCU,11
2011PURDUE,3
2011SAINTPETERS,14
2011TEXASAM,7
2011FLORIDAST,10
2011NOTREDAME,2
2011AKRON,15
2011PITTSBURGH,1
2011UNCASHEVILLE,16
2011BUTLER,8
2011OLDDOMINION,9
2011KANSASST,5
2011UTAHST,12
2011WISCONSIN,4
2011BELMONT,13
2011STJOHNS,6
2011GONZAGA,11
2011BYU,3
2011WOFFORD,14
2011UCLA,7
2011MICHIGANST,10
2011FLORIDA,2
2011UCSANTABARBARA,15
2010KANSAS,1
2010LEHIGH,16
2010UNLV,8
2010NORTHERNIOWA,9
2010MICHIGANST,5
2010NEWMEXICOST,12
2010MARYLAND,4
2010HOUSTON,13
2010TENNESSEE,6
2010SANDIEGOST,11
2010GEORGETOWN,3
2010OHIO,14
2010OKLAHOMAST,7
2010GEORGIATECH,10
2010OHIOST,2
2010UCSANTABARBARA,15
2010SYRACUSE,1
2010VERMONT,16
2010GONZAGA,8
2010FLORIDAST,9
2010BUTLER,5
2010UTEP,12
2010VANDERBILT,4
2010MURRAYST,13
2010XAVIER,6
2010MINNESOTA,11
2010PITTSBURGH,3
2010OAKLAND,14
2010BYU,7
2010FLORIDA,10
2010KANSASST,2
2010NORTHTEXAS,15
2010KENTUCKY,1
2010EASTTENNESSEEST,16
2010TEXAS,8
2010WAKEFOREST,9
2010TEMPLE,5
2010CORNELL,12
2010WISCONSIN,4
2010WOFFORD,13
2010MARQUETTE,6
2010WASHINGTON,11
2010NEWMEXICO,3
2010MONTANA,14
2010CLEMSON,7
2010MISSOURI,10
2010WESTVIRGINIA,2
2010MORGANST,15
2010DUKE,1
2010ARKANSASPINEBLUFF,16
2010CALIFORNIA,8
2010LOUISVILLE,9
2010TEXASAM,5
2010UTAHST,12
2010PURDUE,4
2010SIENA,13
2010NOTREDAME,6
2010OLDDOMINION,11
2010BAYLOR,3
2010SAMHOUSTONST,14
2010RICHMOND,7
2010SAINTMARYS,10
2010VILLANOVA,2
2010ROBERTMORRIS,15
2009LOUISVILLE,1
2009MOREHEADST,16
2009OHIOST,8
2009SIENA,9
2009UTAH,5
2009ARIZONA,12
2009WAKEFOREST,4
2009CLEVELANDST,13
2009WESTVIRGINIA,6
2009DAYTON,11
2009KANSAS,3
2009NORTHDAKOTAST,14
2009BOSTONCOLLEGE,7
2009USC,10
2009MICHIGANST,2
2009ROBERTMORRIS,15
2009CONNECTICUT,1
2009CHATTANOOGA,16
2009BYU,8
2009TEXASAM,9
2009PURDUE,5
2009NORTHERNIOWA,12
2009WASHINGTON,4
2009MISSISSIPPIST,13
2009MARQUETTE,6
2009UTAHST,11
2009MISSOURI,3
2009CORNELL,14
2009CALIFORNIA,7
2009MARYLAND,10
2009MEMPHIS,2
2009CALSTNORTHRIDGE,15
2009PITTSBURGH,1
2009EASTTENNESSEEST,16
2009OKLAHOMAST,8
2009TENNESSEE,9
2009FLORIDAST,5
2009WISCONSIN,12
2009XAVIER,4
2009PORTLANDST,13
2009UCLA,6
2009VCU,11
2009VILLANOVA,3
2009AMERICAN,14
2009TEXAS,7
2009MINNESOTA,10
2009DUKE,2
2009BINGHAMTON,15
2009NORTHCAROLINA,1
2009RADFORD,16
2009LSU,8
2009BUTLER,9
2009ILLINOIS,5
2009WESTERNKENTUCKY,12
2009GONZAGA,4
2009AKRON,13
2009ARIZONAST,6
2009TEMPLE,11
2009SYRACUSE,3
2009STEPHENFAUSTIN,14
2009CLEMSON,7
2009MICHIGAN,10
2009OKLAHOMA,2
2009MORGANST,15
2008NORTHCAROLINA,1
2008MOUNTSTMARYS,16
2008INDIANA,8
2008ARKANSAS,9
2008NOTREDAME,5
2008GEORGEMASON,12
2008WASHINGTONST,4
2008WINTHROP,13
2008OKLAHOMA,6
2008SAINTJOSEPHS,11
2008LOUISVILLE,3
2008BOISEST,14
2008BUTLER,7
2008SOUTHALABAMA,10
2008TENNESSEE,2
2008AMERICAN,15
2008KANSAS,1
2008PORTLANDST,16
2008UNLV,8
2008KENTST,9
2008CLEMSON,5
2008VILLANOVA,12
