Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2014FLORIDA,39,40.1,69.9,24.2,52.7,.460,6.5,18.2,.359,14.9,22.3,.668,10.9,23.4,34.3,13.1,7.0,3.0,11.1,15.7,39,40.1,57.8,20.7,51.4,.402,5.3,16.1,.330,11.1,16.1,.693,8.8,20.2,28.9,9.9,5.6,3.1,13.2,18.9
2014LONGBEACHST,32,40.5,69.9,25.7,59.5,.432,6.0,19.2,.312,12.5,19.0,.661,12.7,23.1,35.8,12.7,5.8,2.5,12.2,17.8,32,40.5,70.5,24.5,56.1,.437,6.8,20.3,.333,14.7,20.8,.705,10.9,23.5,34.4,12.9,5.4,3.4,12.6,17.8
2014LONGWOOD,32,40.0,69.8,25.4,57.7,.440,5.6,16.0,.351,13.5,18.5,.729,9.3,21.1,30.3,13.4,6.8,1.8,12.8,19.5,32,40.0,80.3,27.0,57.1,.473,8.1,22.1,.368,18.3,24.6,.743,11.3,24.9,36.2,16.4,5.9,4.5,13.1,16.4
2014SAINTLOUIS,34,40.4,69.8,24.4,55.0,.444,5.6,17.7,.316,15.5,22.2,.697,9.3,25.3,34.6,14.2,7.4,4.1,12.6,17.6,34,40.4,61.9,22.2,55.1,.403,4.1,14.1,.289,13.4,19.6,.686,9.6,23.7,33.3,10.4,7.2,4.5,14.2,19.3
2014CHICAGOST,32,40.8,69.8,24.6,58.9,.418,6.9,20.4,.337,13.7,20.3,.675,9.9,20.5,30.4,11.2,8.7,2.6,12.2,23.0,32,40.8,76.2,24.6,54.1,.455,7.0,19.8,.351,20.0,28.6,.699,11.6,27.1,38.7,13.5,5.4,4.1,15.9,18.6
2014SACREDHEART,31,40.5,69.7,24.5,59.2,.413,6.4,19.5,.327,14.5,21.1,.685,11.4,21.9,33.3,12.5,5.4,2.1,12.2,19.9,31,40.5,76.7,25.7,55.9,.460,7.0,20.4,.342,18.3,24.7,.742,10.8,25.1,35.9,13.5,6.3,4.4,12.7,18.0
2014COPPINST,32,40.2,69.7,22.6,57.5,.392,7.3,22.7,.324,17.3,23.6,.730,10.7,21.4,32.2,11.5,6.0,2.2,11.9,17.0,32,40.2,75.1,26.8,57.9,.463,7.8,21.8,.356,13.7,20.7,.663,12.3,25.9,38.2,16.1,5.5,4.4,13.8,20.3
2014WAKEFOREST,33,40.2,69.7,23.8,52.7,.451,5.0,15.3,.329,17.2,26.4,.650,9.3,23.9,33.2,13.3,5.5,4.0,12.4,19.2,33,40.2,70.9,24.8,58.2,.427,5.7,18.0,.314,15.6,22.7,.690,11.8,23.0,34.8,12.7,6.7,3.6,11.4,20.9
2014KENTST,32,40.3,69.6,23.9,55.8,.429,7.3,20.9,.347,14.5,20.6,.703,9.9,22.4,32.3,11.3,6.2,3.4,12.2,20.9,32,40.3,68.4,22.4,52.1,.430,5.7,16.8,.338,17.9,24.8,.722,9.8,23.4,33.1,12.1,6.0,3.4,13.2,17.8
2014NORTHTEXAS,32,40.5,69.6,24.2,57.7,.420,4.9,14.9,.330,16.3,24.0,.680,10.6,25.1,35.7,10.1,6.6,3.6,12.7,20.2,32,40.5,72.3,24.8,57.6,.431,6.2,17.6,.349,16.5,24.5,.674,10.4,25.8,36.3,11.1,5.8,3.9,12.5,19.1
