TEAM1,TEAM2,DIFF
2021NORTHCAROLINA,2021WISCONSIN,-23.0
2021VILLANOVA,2021WINTHROP,10.0
2021PURDUE,2021NORTHTEXAS,-9.0
2021TEXASTECH,2021UTAHST,12.0
2021ARKANSAS,2021COLGATE,17.0
2021FLORIDA,2021VIRGINIATECH,5.0
2021OHIOST,2021ORALROBERTS,-3.0
2021ILLINOIS,2021DREXEL,29.0
2021LOYOLACHICAGO,2021GEORGIATECH,11.0
2021TENNESSEE,2021OREGONST,-14.0
2021OKLAHOMAST,2021LIBERTY,9.0
2021SANDIEGOST,2021SYRACUSE,-16.0
2021WESTVIRGINIA,2021MOREHEADST,17.0
2021CLEMSON,2021RUTGERS,-4.0
2021HOUSTON,2021CLEVELANDST,31.0
2021GONZAGA,2021OKLAHOMA,16.0
2021CREIGHTON,2021OHIO,14.0
2021USC,2021KANSAS,34.0
2021OREGON,2021IOWA,15.0
2021MICHIGAN,2021LSU,8.0
2021COLORADO,2021FLORIDAST,-18.0
2021UCLA,2021ABILENECHRISTIAN,20.0
2021MARYLAND,2021ALABAMA,-19.0
2021BAYLOR,2021WISCONSIN,13.0
2021VILLANOVA,2021NORTHTEXAS,23.0
2021TEXASTECH,2021ARKANSAS,-2.0
2021FLORIDA,2021ORALROBERTS,-3.0
2021ILLINOIS,2021LOYOLACHICAGO,-13.0
2021OREGONST,2021OKLAHOMAST,10.0
2021SYRACUSE,2021WESTVIRGINIA,3.0
2021RUTGERS,2021HOUSTON,-3.0
2021GONZAGA,2021CREIGHTON,18.0
2021USC,2021OREGON,14.0
2021MICHIGAN,2021FLORIDAST,18.0
2021UCLA,2021ALABAMA,10.0
2021BAYLOR,2021VILLANOVA,11.0
2021ARKANSAS,2021ORALROBERTS,2.0
2021LOYOLACHICAGO,2021OREGONST,-7.0
2021SYRACUSE,2021HOUSTON,-16.0
2021GONZAGA,2021USC,19.0
2021MICHIGAN,2021UCLA,-2.0
2021BAYLOR,2021ARKANSAS,9.0
2021OREGONST,2021HOUSTON,-6.0
2021GONZAGA,2021UCLA,3.0
2021BAYLOR,2021HOUSTON,19.0
2021GONZAGA,2021BAYLOR,-16.0
2019DUKE,2019NORTHDAKOTAST,23.0
2019VCU,2019UCF,-15.0
2019MISSISSIPPIST,2019LIBERTY,-4.0
2019VIRGINIATECH,2019SAINTLOUIS,14.0
2019MARYLAND,2019BELMONT,2.0
2019LSU,2019YALE,5.0
2019LOUISVILLE,2019MINNESOTA,-10.0
2019MICHIGANST,2019BRADLEY,11.0
2019GONZAGA,2019FAIRLEIGHDICKINSON,38.0
2019SYRACUSE,2019BAYLOR,-9.0
2019MARQUETTE,2019MURRAYST,-19.0
2019FLORIDAST,2019VERMONT,7.0
2019BUFFALO,2019ARIZONAST,17.0
2019TEXASTECH,2019NORTHERNKENTUCKY,15.0
2019NEVADA,2019FLORIDA,-9.0
2019MICHIGAN,2019MONTANA,19.0
2019VIRGINIA,2019GARDNERWEBB,15.0
2019MISSISSIPPI,2019OKLAHOMA,-23.0
2019WISCONSIN,2019OREGON,-18.0
2019KANSASST,2019UCIRVINE,-6.0
2019VILLANOVA,2019SAINTMARYS,4.0
2019PURDUE,2019OLDDOMINION,13.0
2019CINCINNATI,2019IOWA,-7.0
2019TENNESSEE,2019COLGATE,7.0
2019NORTHCAROLINA,2019IONA,15.0
2019UTAHST,2019WASHINGTON,-17.0
2019AUBURN,2019NEWMEXICOST,1.0
2019KANSAS,2019NORTHEASTERN,35.0
2019IOWAST,2019OHIOST,-3.0
2019HOUSTON,2019GEORGIAST,29.0
2019WOFFORD,2019SETONHALL,16.0
2019KENTUCKY,2019ABILENECHRISTIAN,35.0
2019DUKE,2019UCF,1.0
2019LIBERTY,2019VIRGINIATECH,-9.0
2019MARYLAND,2019LSU,-2.0
2019MINNESOTA,2019MICHIGANST,-20.0
2019GONZAGA,2019BAYLOR,12.0
2019MURRAYST,2019FLORIDAST,-28.0
2019BUFFALO,2019TEXASTECH,-20.0
2019FLORIDA,2019MICHIGAN,-15.0
2019VIRGINIA,2019OKLAHOMA,12.0
2019OREGON,2019UCIRVINE,19.0
2019VILLANOVA,2019PURDUE,-26.0
2019IOWA,2019TENNESSEE,-6.0
2019NORTHCAROLINA,2019WASHINGTON,22.0
2019AUBURN,2019KANSAS,14.0
2019OHIOST,2019HOUSTON,-15.0
2019WOFFORD,2019KENTUCKY,-6.0
2019DUKE,2019VIRGINIATECH,2.0
2019LSU,2019MICHIGANST,-17.0
2019GONZAGA,2019FLORIDAST,14.0
2019TEXASTECH,2019MICHIGAN,19.0
2019VIRGINIA,2019OREGON,4.0
2019PURDUE,2019TENNESSEE,5.0
2019NORTHCAROLINA,2019AUBURN,-17.0
2019HOUSTON,2019KENTUCKY,-4.0
2019DUKE,2019MICHIGANST,-1.0
2019GONZAGA,2019TEXASTECH,-6.0
2019VIRGINIA,2019PURDUE,5.0
2019AUBURN,2019KENTUCKY,6.0
2019MICHIGANST,2019TEXASTECH,-10.0
2019VIRGINIA,2019AUBURN,1.0
2019TEXASTECH,2019VIRGINIA,-8.0
2018VIRGINIA,2018UMBC,-20.0
2018CREIGHTON,2018KANSASST,-10.0
2018KENTUCKY,2018DAVIDSON,5.0
2018ARIZONA,2018BUFFALO,-21.0
2018MIAMIFL,2018LOYOLACHICAGO,-2.0
2018TENNESSEE,2018WRIGHTST,26.0
2018NEVADA,2018TEXAS,4.0
2018CINCINNATI,2018GEORGIAST,15.0
2018XAVIER,2018TEXASSOUTHERN,19.0
2018MISSOURI,2018FLORIDAST,-13.0
2018OHIOST,2018SOUTHDAKOTAST,8.0
2018GONZAGA,2018UNCGREENSBORO,4.0
2018HOUSTON,2018SANDIEGOST,2.0
2018MICHIGAN,2018MONTANA,14.0
2018TEXASAM,2018PROVIDENCE,4.0
2018NORTHCAROLINA,2018LIPSCOMB,18.0
2018VILLANOVA,2018RADFORD,26.0
2018VIRGINIATECH,2018ALABAMA,-3.0
2018WESTVIRGINIA,2018MURRAYST,17.0
2018WICHITAST,2018MARSHALL,-6.0
2018FLORIDA,2018STBONAVENTURE,15.0
2018TEXASTECH,2018STEPHENFAUSTIN,10.0
2018ARKANSAS,2018BUTLER,-17.0
2018PURDUE,2018CALSTFULLERTON,26.0
2018KANSAS,2018PENN,16.0
2018SETONHALL,2018NORTHCAROLINAST,11.0
2018CLEMSON,2018NEWMEXICOST,11.0
2018AUBURN,2018COLLEGEOFCHARLESTON,4.0
2018TCU,2018SYRACUSE,-5.0
2018MICHIGANST,2018BUCKNELL,4.0
2018RHODEISLAND,2018OKLAHOMA,5.0
2018DUKE,2018IONA,22.0
2018UMBC,2018KANSASST,-7.0
2018KENTUCKY,2018BUFFALO,20.0
2018LOYOLACHICAGO,2018TENNESSEE,1.0
2018NEVADA,2018CINCINNATI,2.0
2018XAVIER,2018FLORIDAST,-5.0
2018OHIOST,2018GONZAGA,-6.0
2018HOUSTON,2018MICHIGAN,-1.0
2018TEXASAM,2018NORTHCAROLINA,21.0
2018VILLANOVA,2018ALABAMA,23.0
2018WESTVIRGINIA,2018MARSHALL,23.0
2018FLORIDA,2018TEXASTECH,-3.0
2018BUTLER,2018PURDUE,-3.0
2018KANSAS,2018SETONHALL,4.0
2018CLEMSON,2018AUBURN,31.0
2018SYRACUSE,2018MICHIGANST,2.0
2018RHODEISLAND,2018DUKE,-25.0
2018KANSASST,2018KENTUCKY,3.0
2018LOYOLACHICAGO,2018NEVADA,1.0
2018FLORIDAST,2018GONZAGA,15.0
2018MICHIGAN,2018TEXASAM,27.0
2018VILLANOVA,2018WESTVIRGINIA,12.0
2018TEXASTECH,2018PURDUE,13.0
2018KANSAS,2018CLEMSON,4.0
2018SYRACUSE,2018DUKE,-4.0
2018KANSASST,2018LOYOLACHICAGO,-16.0
2018FLORIDAST,2018MICHIGAN,-4.0
2018VILLANOVA,2018TEXASTECH,12.0
2018KANSAS,2018DUKE,4.0
2018LOYOLACHICAGO,2018MICHIGAN,-12.0
2018VILLANOVA,2018KANSAS,16.0
2018MICHIGAN,2018VILLANOVA,-17.0
2017VILLANOVA,2017MOUNTSTMARYS,20.0
2017WISCONSIN,2017VIRGINIATECH,10.0
2017VIRGINIA,2017UNCWILMINGTON,5.0
2017FLORIDA,2017EASTTENNESSEEST,15.0
2017SMU,2017USC,-1.0
2017BAYLOR,2017NEWMEXICOST,18.0
2017SOUTHCAROLINA,2017MARQUETTE,20.0
2017DUKE,2017TROY,22.0
2017GONZAGA,2017SOUTHDAKOTAST,20.0
2017NORTHWESTERN,2017VANDERBILT,2.0
2017NOTREDAME,2017PRINCETON,2.0
2017WESTVIRGINIA,2017BUCKNELL,6.0
2017MARYLAND,2017XAVIER,-11.0
2017FLORIDAST,2017FLORIDAGULFCOAST,6.0
2017SAINTMARYS,2017VCU,8.0
2017ARIZONA,2017NORTHDAKOTA,18.0
2017KANSAS,2017UCDAVIS,38.0
2017MIAMIFL,2017MICHIGANST,-20.0
2017IOWAST,2017NEVADA,11.0
2017PURDUE,2017VERMONT,10.0
2017CREIGHTON,2017RHODEISLAND,-12.0
2017OREGON,2017IONA,16.0
2017MICHIGAN,2017OKLAHOMAST,1.0
2017LOUISVILLE,2017JACKSONVILLEST,15.0
2017NORTHCAROLINA,2017TEXASSOUTHERN,39.0
2017ARKANSAS,2017SETONHALL,6.0
2017MINNESOTA,2017MIDDLETENNESSEE,-9.0
2017BUTLER,2017WINTHROP,12.0
2017CINCINNATI,2017KANSASST,14.0
2017UCLA,2017KENTST,17.0
2017DAYTON,2017WICHITAST,-6.0
2017KENTUCKY,2017NORTHERNKENTUCKY,9.0
2017VILLANOVA,2017WISCONSIN,-3.0
2017VIRGINIA,2017FLORIDA,-26.0
2017USC,2017BAYLOR,-4.0
2017SOUTHCAROLINA,2017DUKE,7.0
2017GONZAGA,2017NORTHWESTERN,6.0
2017NOTREDAME,2017WESTVIRGINIA,-12.0
2017XAVIER,2017FLORIDAST,25.0
2017SAINTMARYS,2017ARIZONA,-9.0
2017KANSAS,2017MICHIGANST,20.0
2017IOWAST,2017PURDUE,-4.0
2017RHODEISLAND,2017OREGON,-3.0
2017MICHIGAN,2017LOUISVILLE,4.0
2017NORTHCAROLINA,2017ARKANSAS,7.0
2017MIDDLETENNESSEE,2017BUTLER,-9.0
2017CINCINNATI,2017UCLA,-12.0
2017WICHITAST,2017KENTUCKY,-3.0
2017WISCONSIN,2017FLORIDA,-1.0
2017BAYLOR,2017SOUTHCAROLINA,-20.0
2017GONZAGA,2017WESTVIRGINIA,3.0
2017XAVIER,2017ARIZONA,2.0
2017KANSAS,2017PURDUE,32.0
2017OREGON,2017MICHIGAN,1.0
2017NORTHCAROLINA,2017BUTLER,12.0
2017UCLA,2017KENTUCKY,-11.0
2017FLORIDA,2017SOUTHCAROLINA,-7.0
2017GONZAGA,2017XAVIER,24.0
2017KANSAS,2017OREGON,-14.0
2017NORTHCAROLINA,2017KENTUCKY,2.0
2017SOUTHCAROLINA,2017GONZAGA,-4.0
